freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.147172e+04	 2.077179e-05	 4.364602e-05	 1.106789e-04	 2.259263e-04	 4.369833e-04	 1.049991e-03
1.148464e+04	 2.145281e-05	 4.445575e-05	 1.125167e-04	 2.253166e-04	 4.503845e-04	 1.055714e-03
1.149757e+04	 2.125869e-05	 4.408942e-05	 1.166492e-04	 2.275496e-04	 4.399380e-04	 1.051976e-03
1.151052e+04	 2.126708e-05	 4.543664e-05	 1.169950e-04	 2.280178e-04	 4.528208e-04	 7.809767e-04
1.152348e+04	 2.189924e-05	 4.793843e-05	 1.147800e-04	 2.323197e-04	 4.471908e-04	 1.059510e-03
1.153645e+04	 2.168355e-05	 4.511800e-05	 1.141970e-04	 2.288602e-04	 4.544095e-04	 1.060210e-03
1.154944e+04	 2.308752e-05	 4.593693e-05	 1.166824e-04	 2.276626e-04	 4.535037e-04	 1.072746e-03
1.156245e+04	 2.246152e-05	 4.721877e-05	 1.128078e-04	 2.330940e-04	 4.557572e-04	 1.084434e-03
1.157547e+04	 2.248138e-05	 4.636891e-05	 1.154768e-04	 2.320093e-04	 4.602608e-04	 1.084434e-03
1.158850e+04	 2.263854e-05	 4.777426e-05	 1.219312e-04	 2.373992e-04	 4.649201e-04	 9.609012e-04
1.160155e+04	 2.225613e-05	 4.735253e-05	 1.219210e-04	 2.414138e-04	 4.743333e-04	 1.115666e-03
1.161462e+04	 2.262056e-05	 4.518987e-05	 1.220285e-04	 2.432652e-04	 4.785288e-04	 1.124430e-03
1.162770e+04	 2.344739e-05	 4.835891e-05	 1.213645e-04	 2.470679e-04	 4.746943e-04	 1.136336e-03
1.164079e+04	 2.268713e-05	 4.702158e-05	 1.270701e-04	 2.507871e-04	 4.869234e-04	 1.142670e-03
1.165390e+04	 2.282106e-05	 5.145316e-05	 1.291114e-04	 2.562291e-04	 4.901203e-04	 5.345054e-04
1.166702e+04	 2.357574e-05	 5.106102e-05	 1.315618e-04	 2.536890e-04	 4.905494e-04	 1.171749e-03
1.168016e+04	 2.365535e-05	 5.193037e-05	 1.333027e-04	 2.626047e-04	 4.948865e-04	 1.180880e-03
1.169331e+04	 2.369091e-05	 5.019858e-05	 1.361651e-04	 2.553859e-04	 5.034078e-04	 1.184815e-03
1.170648e+04	 2.459602e-05	 4.899004e-05	 1.373944e-04	 2.638402e-04	 5.134660e-04	 1.194116e-03
1.171966e+04	 2.560897e-05	 4.975232e-05	 1.348530e-04	 2.637656e-04	 5.152314e-04	 1.213913e-03
1.173286e+04	 2.507596e-05	 5.227082e-05	 1.332148e-04	 2.660476e-04	 5.147384e-04	 1.215997e-03
1.174607e+04	 2.531463e-05	 4.821023e-05	 1.353514e-04	 2.706778e-04	 5.318188e-04	 1.233049e-03
1.175929e+04	 2.637325e-05	 5.278642e-05	 1.358978e-04	 2.710450e-04	 5.347895e-04	 1.252043e-03
1.177254e+04	 2.556072e-05	 5.117109e-05	 1.327679e-04	 2.671887e-04	 5.322595e-04	 1.259084e-03
1.178579e+04	 2.493733e-05	 5.361054e-05	 1.363353e-04	 2.671606e-04	 5.437430e-04	 1.279359e-03
1.179906e+04	 2.537873e-05	 3.380266e-06	 1.337653e-04	 2.702299e-04	 5.558230e-04	 1.292961e-03
1.181235e+04	 7.498873e-06	 5.416819e-05	 1.350021e-04	 2.719372e-04	 5.602723e-04	 1.300921e-03
1.182565e+04	 2.584195e-05	 5.410143e-05	 1.352393e-04	 2.752050e-04	 5.625909e-04	 1.322269e-03
1.183897e+04	 2.813057e-05	 5.587902e-05	 1.362228e-04	 2.786178e-04	 5.675804e-04	 1.342421e-03
1.185230e+04	 2.771283e-05	 5.299096e-05	 1.412442e-04	 2.826356e-04	 5.683015e-04	 1.359288e-03
1.186564e+04	 2.650927e-05	 5.443619e-05	 1.383652e-04	 2.895024e-04	 5.762012e-04	 1.371525e-03
1.187900e+04	 2.741087e-05	 5.659003e-05	 1.402649e-04	 2.911714e-04	 5.766448e-04	 1.383138e-03
1.189238e+04	 2.711316e-05	 5.637631e-05	 1.437424e-04	 2.919850e-04	 5.831379e-04	 1.387669e-03
1.190577e+04	 2.701948e-05	 5.786711e-05	 1.461504e-04	 3.006900e-04	 5.834045e-04	 1.399576e-03
1.191918e+04	 2.838064e-05	 5.754476e-05	 1.494116e-04	 2.991146e-04	 5.875897e-04	 1.415765e-03
1.193260e+04	 2.878224e-05	 5.706776e-05	 1.502452e-04	 2.939412e-04	 5.893489e-04	 1.429324e-03
1.194604e+04	 2.831341e-05	 5.900983e-05	 1.542422e-04	 3.013993e-04	 5.946374e-04	 1.434272e-03
1.195949e+04	 2.737739e-05	 5.762085e-05	 1.529039e-04	 3.102565e-04	 5.918190e-04	 1.456728e-03
1.197296e+04	 2.571159e-05	 5.933398e-05	 1.491419e-04	 3.065718e-04	 5.897191e-04	 1.462436e-03
1.198644e+04	 2.859697e-05	 5.959891e-05	 1.536556e-04	 3.102854e-04	 6.025029e-04	 1.465460e-03
1.199993e+04	 2.989871e-05	 6.031545e-05	 1.555861e-04	 3.091632e-04	 6.024125e-04	 1.483329e-03
1.201345e+04	 2.913812e-05	 6.312997e-05	 1.582478e-04	 3.089026e-04	 6.033369e-04	 1.485090e-03
1.202697e+04	 2.981050e-05	 5.989248e-05	 1.572365e-04	 3.114182e-04	 6.058542e-04	 1.494945e-03
1.204052e+04	 2.996603e-05	 6.179454e-05	 1.586785e-04	 3.159974e-04	 6.038220e-04	 1.502166e-03
1.205408e+04	 2.968933e-05	 6.184925e-05	 1.578154e-04	 3.197345e-04	 6.085361e-04	 1.511666e-03
1.206765e+04	 3.079104e-05	 6.008059e-05	 1.614938e-04	 3.203050e-04	 6.111936e-04	 1.512831e-03
1.208124e+04	 3.044545e-05	 6.439795e-05	 1.552447e-04	 3.215253e-04	 6.164453e-04	 1.522377e-03
1.209484e+04	 3.102087e-05	 6.469883e-05	 1.529033e-04	 3.257928e-04	 6.264488e-04	 1.534296e-03
1.210846e+04	 3.152649e-05	 6.601160e-05	 1.608055e-04	 3.310714e-04	 6.316719e-04	 1.546395e-03
1.212210e+04	 3.054694e-05	 6.478016e-05	 1.578435e-04	 3.319070e-04	 6.332114e-04	 1.554887e-03
1.213575e+04	 3.131865e-05	 6.577482e-05	 1.616466e-04	 3.384644e-04	 6.394677e-04	 1.556156e-03
1.214941e+04	 3.120787e-05	 6.585324e-05	 1.627751e-04	 3.337190e-04	 6.430176e-04	 1.575139e-03
1.216309e+04	 3.082332e-05	 6.628204e-05	 1.629889e-04	 3.385081e-04	 6.440242e-04	 1.587735e-03
1.217679e+04	 3.091239e-05	 6.753358e-05	 1.678089e-04	 3.377746e-04	 6.462214e-04	 1.606510e-03
1.219050e+04	 3.122011e-05	 6.567248e-05	 1.687049e-04	 3.351021e-04	 6.482221e-04	 1.611615e-03
1.220423e+04	 3.155551e-05	 7.047151e-05	 1.689156e-04	 3.367907e-04	 6.544901e-04	 1.637444e-03
1.221797e+04	 3.341747e-05	 6.687972e-05	 1.724251e-04	 3.340924e-04	 6.547766e-04	 1.658220e-03
