freq	Measured velocity
Hz	m/s
73160	7.060E-02
73180	6.900E-02
73200	6.760E-02
73220	6.600E-02
73240	6.460E-02
73260	6.320E-02
73280	6.180E-02
73300	6.040E-02
73320	5.920E-02
73340	5.800E-02
73360	5.660E-02
73380	5.560E-02
73400	5.440E-02
73420	5.320E-02
73440	5.220E-02
73460	5.120E-02
73480	5.020E-02
73500	4.920E-02
73520	4.840E-02
73540	4.740E-02
73560	4.660E-02
73580	4.580E-02
73600	4.500E-02
73620	4.440E-02
73640	4.380E-02
73660	4.300E-02
73680	4.240E-02
73700	4.180E-02
73720	4.120E-02
73740	4.060E-02
73760	4.000E-02
73780	3.960E-02
73800	3.900E-02
73820	3.840E-02
73840	3.780E-02
73860	3.740E-02
73880	3.680E-02
73900	3.640E-02
73920	3.600E-02
73940	3.540E-02
73960	3.500E-02
73980	3.480E-02
74000	3.440E-02
74020	3.400E-02
74040	3.360E-02
74060	3.340E-02
74080	3.320E-02
74100	3.280E-02
74120	3.260E-02
74140	3.240E-02
74160	3.220E-02
74180	3.180E-02
74200	3.160E-02
74220	3.140E-02
74240	3.120E-02
74260	3.100E-02
74280	3.080E-02
74300	3.060E-02
74320	3.040E-02
74340	3.040E-02
74360	3.020E-02
74380	3.000E-02
74400	3.000E-02
74420	2.980E-02
74440	2.980E-02
74460	2.980E-02
74480	2.980E-02
74500	2.960E-02
74520	2.960E-02
74540	2.960E-02
74560	2.960E-02
74580	2.940E-02
74600	2.940E-02
74620	2.940E-02
74640	2.940E-02
74660	2.940E-02
74680	2.940E-02
74700	2.940E-02
74720	2.940E-02
74740	2.940E-02
74760	2.940E-02
74780	2.960E-02
74800	2.960E-02
74820	2.980E-02
74840	3.000E-02
74860	3.000E-02
74880	3.020E-02
74900	3.040E-02
74920	3.060E-02
74940	3.100E-02
74960	3.120E-02
74980	3.140E-02
75000	3.160E-02
75020	3.200E-02
75040	3.220E-02
75060	3.240E-02
75080	3.260E-02
75100	3.300E-02
75120	3.320E-02
75140	3.360E-02
75160	3.380E-02
75180	3.420E-02
75200	3.460E-02
75220	3.500E-02
75240	3.540E-02
75260	3.580E-02
75280	3.640E-02
75300	3.680E-02
75320	3.740E-02
75340	3.780E-02
75360	3.820E-02
75380	3.880E-02
75400	3.920E-02
75420	3.980E-02
75440	4.020E-02
75460	4.080E-02
75480	4.120E-02
75500	4.180E-02
75520	4.240E-02
75540	4.300E-02
75560	4.380E-02
75580	4.460E-02
75600	4.520E-02
75620	4.540E-02
75640	4.540E-02
75660	4.540E-02
75680	4.560E-02
75700	4.600E-02
75720	4.640E-02
75740	4.700E-02
75760	4.740E-02
75780	4.760E-02
75800	4.780E-02
75820	4.780E-02
75840	4.760E-02
