freq	SPL
Hz	dB
70381.23167	8.624E+01
70395.89443	8.641E+01
70410.55718	8.661E+01
70425.21994	8.676E+01
70439.8827	8.682E+01
70454.54545	8.685E+01
70469.20821	8.693E+01
70483.87097	8.708E+01
70498.53372	8.722E+01
70513.19648	8.725E+01
70527.85924	8.723E+01
70542.52199	8.727E+01
70557.18475	8.739E+01
70571.84751	8.760E+01
70586.51026	8.786E+01
70601.17302	8.809E+01
70615.83578	8.823E+01
70630.49853	8.830E+01
70645.16129	8.832E+01
70659.82405	8.833E+01
70674.4868	8.834E+01
70689.14956	8.835E+01
70703.81232	8.838E+01
70718.47507	8.844E+01
70733.13783	8.854E+01
70747.80059	8.865E+01
70762.46334	8.878E+01
70777.1261	8.890E+01
70791.78886	8.899E+01
70806.45161	8.906E+01
70821.11437	8.912E+01
70835.77713	8.918E+01
70850.43988	8.924E+01
70865.10264	8.930E+01
70879.7654	8.934E+01
70894.42815	8.937E+01
70909.09091	8.940E+01
70923.75367	8.946E+01
70938.41642	8.953E+01
70953.07918	8.960E+01
70967.74194	8.966E+01
70982.40469	8.974E+01
70997.06745	8.987E+01
71011.73021	9.004E+01
71026.39296	9.020E+01
71041.05572	9.028E+01
71055.71848	9.023E+01
71070.38123	9.011E+01
71085.04399	9.012E+01
71099.70674	9.029E+01
71114.3695	9.054E+01
71129.03226	9.078E+01
71143.69501	9.096E+01
71158.35777	9.113E+01
71173.02053	9.133E+01
71187.68328	9.159E+01
71202.34604	9.183E+01
71217.0088	9.200E+01
71231.67155	9.209E+01
71246.33431	9.214E+01
71260.99707	9.224E+01
71275.65982	9.240E+01
71290.32258	9.258E+01
71304.98534	9.272E+01
71319.64809	9.282E+01
71334.31085	9.293E+01
71348.97361	9.310E+01
71363.63636	9.337E+01
71378.29912	9.365E+01
71392.96188	9.385E+01
71407.62463	9.395E+01
71422.28739	9.399E+01
71436.95015	9.407E+01
71451.6129	9.419E+01
71466.27566	9.431E+01
71480.93842	9.442E+01
71495.60117	9.451E+01
71510.26393	9.459E+01
71524.92669	9.469E+01
71539.58944	9.484E+01
71554.2522	9.500E+01
71568.91496	9.511E+01
71583.57771	9.516E+01
71598.24047	9.520E+01
71612.90323	9.530E+01
71627.56598	9.548E+01
71642.22874	9.568E+01
71656.8915	9.581E+01
71671.55425	9.585E+01
71686.21701	9.585E+01
71700.87977	9.589E+01
71715.54252	9.600E+01
71730.20528	9.611E+01
71744.86804	9.620E+01
71759.53079	9.625E+01
71774.19355	9.628E+01
71788.8563	9.632E+01
71803.51906	9.639E+01
71818.18182	9.649E+01
71832.84457	9.658E+01
71847.50733	9.667E+01
71862.17009	9.676E+01
71876.83284	9.690E+01
71891.4956	9.711E+01
71906.15836	9.739E+01
71920.82111	9.758E+01
71935.48387	9.741E+01
71950.14663	9.713E+01
71964.80938	9.713E+01
71979.47214	9.734E+01
71994.1349	9.758E+01
72008.79765	9.778E+01
72023.46041	9.795E+01
72038.12317	9.810E+01
72052.78592	9.831E+01
72067.44868	9.862E+01
72082.11144	9.899E+01
72096.77419	9.936E+01
72111.43695	9.967E+01
72126.09971	9.995E+01
72140.76246	1.003E+02
72155.42522	1.006E+02
72170.08798	1.010E+02
72184.75073	1.014E+02
72199.41349	1.017E+02
72214.07625	1.020E+02
72228.739	1.024E+02
72243.40176	1.029E+02
72258.06452	1.033E+02
72272.72727	1.038E+02
72287.39003	1.042E+02
72302.05279	1.046E+02
72316.71554	1.050E+02
72331.3783	1.056E+02
72346.04106	1.062E+02
72360.70381	1.066E+02
72375.36657	1.071E+02
72390.02933	1.075E+02
72404.69208	1.081E+02
72419.35484	1.087E+02
72434.0176	1.098E+02
72448.68035	1.108E+02
72463.34311	1.110E+02
72478.00587	1.112E+02
72492.66862	1.114E+02
72507.33138	1.116E+02
72521.99413	1.118E+02
72536.65689	1.121E+02
72551.31965	1.123E+02
72565.9824	1.125E+02
72580.64516	1.128E+02
72595.30792	1.131E+02
72609.97067	1.133E+02
72624.63343	1.135E+02
72639.29619	1.136E+02
72653.95894	1.137E+02
72668.6217	1.139E+02
72683.28446	1.141E+02
72697.94721	1.143E+02
72712.60997	1.144E+02
72727.27273	1.143E+02
72741.93548	1.144E+02
72756.59824	1.147E+02
72771.261	1.138E+02
72785.92375	1.116E+02
72800.58651	1.099E+02
72815.24927	1.104E+02
72829.91202	1.100E+02
72844.57478	1.098E+02
72859.23754	1.096E+02
72873.90029	1.095E+02
72888.56305	1.093E+02
72903.22581	1.091E+02
72917.88856	1.088E+02
72932.55132	1.085E+02
72947.21408	1.084E+02
72961.87683	1.084E+02
72976.53959	1.083E+02
72991.20235	1.082E+02
73005.8651	1.081E+02
73020.52786	1.081E+02
73035.19062	1.081E+02
73049.85337	1.082E+02
73064.51613	1.082E+02
73079.17889	1.081E+02
73093.84164	1.081E+02
73108.5044	1.080E+02
73123.16716	1.080E+02
73137.82991	1.080E+02
73152.49267	1.080E+02
73167.15543	1.080E+02
73181.81818	1.080E+02
73196.48094	1.080E+02
73211.1437	1.080E+02
73225.80645	1.081E+02
73240.46921	1.081E+02
73255.13196	1.081E+02
73269.79472	1.081E+02
73284.45748	1.081E+02
73299.12023	1.081E+02
73313.78299	1.082E+02
73328.44575	1.082E+02
73343.1085	1.081E+02
73357.77126	1.079E+02
73372.43402	1.078E+02
73387.09677	1.077E+02
73401.75953	1.076E+02
73416.42229	1.076E+02
73431.08504	1.074E+02
73445.7478	1.073E+02
73460.41056	1.073E+02
73475.07331	1.072E+02
73489.73607	1.071E+02
73504.39883	1.070E+02
73519.06158	1.069E+02
73533.72434	1.067E+02
73548.3871	1.066E+02
73563.04985	1.064E+02
73577.71261	1.063E+02
73592.37537	1.060E+02
73607.03812	1.057E+02
73621.70088	1.055E+02
73636.36364	1.053E+02
73651.02639	1.052E+02
73665.68915	1.050E+02
73680.35191	1.048E+02
73695.01466	1.046E+02
73709.67742	1.044E+02
73724.34018	1.042E+02
73739.00293	1.040E+02
73753.66569	1.039E+02
73768.32845	1.038E+02
73782.9912	1.036E+02
73797.65396	1.033E+02
73812.31672	1.031E+02
73826.97947	1.029E+02
73841.64223	1.028E+02
73856.30499	1.026E+02
73870.96774	1.024E+02
73885.6305	1.023E+02
73900.29326	1.024E+02
73914.95601	1.024E+02
73929.61877	1.025E+02
73944.28152	1.025E+02
73958.94428	1.025E+02
73973.60704	1.026E+02
73988.26979	1.026E+02
74002.93255	1.027E+02
74017.59531	1.028E+02
74032.25806	1.029E+02
74046.92082	1.029E+02
74061.58358	1.030E+02
74076.24633	1.031E+02
74090.90909	1.033E+02
74105.57185	1.034E+02
74120.2346	1.035E+02
74134.89736	1.036E+02
74149.56012	1.037E+02
74164.22287	1.039E+02
74178.88563	1.040E+02
74193.54839	1.042E+02
74208.21114	1.042E+02
74222.8739	1.042E+02
74237.53666	1.043E+02
74252.19941	1.044E+02
74266.86217	1.045E+02
74281.52493	1.046E+02
74296.18768	1.046E+02
74310.85044	1.046E+02
74325.5132	1.046E+02
74340.17595	1.047E+02
74354.83871	1.047E+02
74369.50147	1.047E+02
74384.16422	1.047E+02
74398.82698	1.047E+02
74413.48974	1.047E+02
